aɣɯrtsi _aGMrtsi1
tɤ-rtsi t7-rtsi
aɣɯrtsɯrtsɤɣ _aGMrtsMrts7G1
arɤrtsɯrtsɤɣ _ar7rtsMrts7G
tɯ-rtsɤɣ tM-rts7G
aɣɯrtɯrtaʁ _aGMrtMrtaR
tɤ-rtaʁ t7-rtaR1
aɣɯrɯru _aGMrMru
zɣɯrɯru zGMrMru
ɯ-ru M-ru
aɣɯrɯz _aGMrMz
aɣɯrʑɯrʑɯɣ _aGMrz\Mrz\MG
tɤ-rʑɯɣ t7-rz\MG
aɣɯsmɤɣ _aGMsm7G
smɤɣ sm7G1
aɣɯsmɤn _aGMsm7n1
smɤn sm7n1
aɣɯsɯm _aGMsMm
aɣɯʂwaŋ _aGMs`waN
aɣɯtɕha _aGMts\ha1
aɣɯtɕhɯtɕha aGMts\hMts\ha
tɯ-tɕha1 tM-ts\ha1
aɣɯtʂɤm _aGMts`7m
aɣɯtʂɯn _aGMts`Mn
tɯ-tʂɯn tM-ts`Mn1
aɣɯtɯɣ _aGMtMG
aɣɯxɕɤt _aGMxs\7t
aɣɯzda _aGMzda
aɣɯzɤrŋɤn _aGMz7rN7n
rɯndzɤqhɤjɯ _rMndz7qh7jM
aɣɯzrɯɣ _aGMzrMG1
zrɯɣ zrMG1
aɣɯʑɤzdaŋ _aGMz\7zdaN
aɣɯʑɯʑat _aGMz\Mz\at1
aj aj1
aʑo az\o
aja aja1
ja1 _ja1
ajɤr _aj7r1
sɤjɤr _s7j7r
ʑɣɤsɤjɤr _z\G7s7j7r
ajŋgɯɣ _ajNgMG
azgrɯ _azgrM1
ajʁu _ajRu1
ajpomxtshɯm _ajpomxtshMm1
sɤjpomxtshɯm s7jpomxtshMm
amɤʁu _am7Ru1
sɤjʁu _s7jRu
ajtshi ajtshi1
jtshi _jtshi1
ajtɯ _ajtM1
sɤjtɯ _s7jtM
ɣɤjtɯ _G7jtM
ajχoʁ _ajXoR
ɲchoʁ _JchoR1
akarɯ akarM
akɤlɤt _ak7l7t1
sɤkɤlɤt _s7k7l7t
akɤmtɕoʁ _ak7mts\oR1
amtɕoʁ _amts\oR1
akɤtɕɤβ _ak7ts\7B1
sɤkɤtɕɤβ _s7k7ts\7B
akhar _akhar1
sɤkhar _s7khar
nɤkhar _n7khar1
akhɤɟor akh7J\or1
amkhɤrju _amkh7rju
akhɤzŋga _akh7zNga1
akhu _akhu1
nɤkhɤzŋga _n7kh7zNga
akhi akhi
akhra _akhra1
akhrɤla _akhr7la
akhrɤlɯla _akhr7lMla
akundi _akundi1
sɤkundi s7kundi
akɯ akM1
tɕɤkɯ ts\7kM1
akɯchoʁle akMchoRle1
qale qale1
andichoʁle andichoRle
akɯzgumba akMzgumba
ala _ala1
sɤla _s7la
alala alala1
ʁo alala ri Ro alala ri1
alɤɣɯ _al7GM1
sɤlɤɣɯ _s7l7GM1
alɤt al7t1
lɤt1 _l7t1
sɤlɤt _s7l7t
alɟɣi _alJ\Gi
alo alo1
tɕɤlo ts\7lo
alothi _alothi1
sɤlothi _s7lothi
alpɯm _alpMm1
angɯt _angMt1
sɤlpɯm _s7lpMm
aluj aluj1
luj _luj1
alɯlɤt _alMl7t1
alɯlju _alMlju1
alxaj _alxaj
aɬɯt _aKMt1
atʂoʁloʁ _ats`oRloR1
sɤɬɯt _s7KMt
ama ama
amar _amar1
ambɤldʑɤm _amb7ldz\7m1
sɤmbɤldʑɤm _s7mb7ldz\7m
ambi ambi1
amboʁ _amboR1
stoʁmboʁ stoRmboR
ambrɤqɤt _ambr7q7t1
sɤmbrɤqɤt _s7mbr7q7t
ambɯmbi ambMmbi1
amdzɯ _amdzM1
sɤmdzɯ _s7mdzM
amdʑɯβ _amdz\MB1
sɤmdʑɯβ s7mdz\MB
amgri _amgri1
qarndɯm _qarndMm1
arɤmgrɯndɯr _ar7mgrMndMr
amnoʁ _amnoR
amɲaχtshɯm _amJaXtshMm
xtshɯm _xtshMm
amɲɤm _amJ7m1
amɯzɣɯt _amMzGMt1
sɤmɲɤm _s7mJ7m
amɲɯmɲo amJMmJo1
mɲo2 _mJo2
mɲo1 _mJo1
amŋaʁ _amNaR1
sɤmŋaʁ _s7mNaR
amphɯmphɯr amphMmphMr1
mphɯr _mphMr1
amqaj _amqaj1
anɯmqaj _anMmqaj
tɯ-mqaj tM-mqaj
amtɕhoʁ _amts\hoR1
sɤmtɕhoʁ _s7mts\hoR
amthoʁmthɯt _amthoRmthMt1
sɤmthoʁmthɯt _s7mthoRmthMt
amthɯn _amthMn1
amto amto1
mto mto2
amɯβde amMBde1
amɯβɟɤt _amMBJ\7t
βɟɤt _BJ\7t1
amɯfse _amMfse1
amɯmi amMmi
ɲɟɯɣ _JJ\MG
amɯmto _amMmto1
sɤmɯmto _s7mMmto
amɯmtshɤm _amMmtsh7m1
mtshɤm _mtsh7m1
sɤmɯmtshɤm s7mMmtsh7m
asɤmɯmtshɯmtshɤm as7mMmtshMmtsh7m1
amɯrga amMrga
amɯrmbat _amMrmbat1
armbat _armbat1
amɯrmbɯ _amMrmbM1
zmɯrmbɯ _zmMrmbM
amɯrpu _amMrpu1
sɤmɯrpu _s7mMrpu
amɯrqhi _amMrqhi1
arqhi _arqhi1
amɯsthaβ _amMsthaB1
sɤmɯsthaβ _s7mMsthaB
amɯsɯz _amMsMz1
sɯz _sMz
sɤmɯsɯz _s7mMsMz
amɯti _amMti
amɯtso _amMtso1
sɤmɯtso _s7mMtso
amɯtsɯtso _amMtsMtso
tso _tso1
amɯtɯɣ _amMtMG1
sɤmɯtɯɣ _s7mMtMG
